AkamaiV6

2600:1419:6200:11::1729:f7ea	(São Paulo, State of São Paulo, Brazil)
2600:1409:3800::1722:ac30	(Seattle, Washington, USA)
2600:1409:9800:22::17d8:933e	(Seattle, Washington, USA)
2600:141b:9000::b857:ad49	(Secaucus, New Jersey, USA)
2600:1417:3f::1732:e8d6	(Singapore)
2600:1413:a000::172e:1096	(Singapore)
2600:1417:f::1705:a533	(Singapore)
2600:1413:5000:4::1736:7659	(Singapore)
2a02:26f0:e80:4::5c7b:8747	(Stockholm, Stockholm Province, Sweden)
2a02:26f0:5200::b81f:f43	(Stockholm, Stockholm Province, Sweden)
2a02:26f0:9500:10::b833:fccf	(Stockholm, Stockholm Province, Sweden)
2600:1415:e000:4::b854:dc78	(Sydney, New South Wales, Australia)
2600:1415:2000::1737:260b	(Sydney, New South Wales, Australia)
2600:1415:3c00::1730:6098	(Sydney, New South Wales, Australia)
2600:1417:76::6874:f3c9	(Taipei City, Taiwan, China)
2600:1405:8400:5::17dc:49b8	(Tempe, Arizona, USA)
2600:140b:1a00:1b::17dc:4699	(Tokyo, Japan)
2600:140b:a800::17c0:2eb2	(Tokyo, Japan)
2600:140b:400::1721:2180	(Tokyo, Japan)
2600:140b:2::1720:f829	(Tokyo, Tokyo, Japan)
2a02:26f0:11a::217:9a39	(Vienna, Austria)
2a02:26f0:f700:e::5f65:4b48	(Vienna, Austria)
2a02:26f0:d200::6855:f9a3	(Warsaw, Mazovia Voivodeship, Poland)
